,0,1
47,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,1.9129721044995206e+23
48,0xf774da4418c6dca3051f0e7570829b24214e730b,1.9051526973892578e+23
49,0x90a9e09501b70570f9b11df2a6d4f047f8630d6d,1.8829768427569763e+23
50,0xbf3aeb96e164ae67e763d9e050ff124e7c3fdd28,1.8706819559e+23
51,0xb8808f9e9b88497ec522304055cd537a0913f6a0,1.8585259372197742e+23
52,0xb29380ffc20696729b7ab8d093fa1e2ec14dfe2b,1.849475103997971e+23
53,0x7da82c7ab4771ff031b66538d2fb9b0b047f6cf9,1.7803430989632162e+23
54,0x36a85757645e8e8aec062a1dee289c7d615901ca,1.7732830765968e+23
55,0xd69b0089d9ca950640f5dc9931a41a5965f00303,1.730000481664091e+23
56,0xa7e4fecddc20d83f36971b67e13f1abc98dfcfa6,1.720380671967539e+23
57,0x5b5b69f4e0add2df5d2176d7dbd20b4897bc7ec4,1.6903199351958393e+23
58,0xa160cdab225685da1d56aa342ad8841c3b53f291,1.65e+23
59,0xcdbf58a9a9b54a2c43800c50c7192946de858321,1.6000009853e+23
60,0x3ba25081d3935fcc6788e6220abcace39d58d95d,1.5773810587866106e+23
61,0xad132dab2782aca6e0be99170b8c30499ef0915c,1.5545866803129954e+23
62,0xfd898a0f677e97a9031654fc79a27cb5e31da34a,1.500001e+23
63,0x4b4a011c420b91260a272afd91e54accdafdfc1d,1.50000001e+23
64,0xa8dcc0373822b94d7f57326be24ca67bafcaad6b,1.50000001e+23
65,0x367989c660881e1ca693730f7126fe0ffc0963fb,1.50000001e+23
66,0x844ada2ed8ecd77a1a9c72912df0fcb8b8c495a7,1.5e+23
67,0x9c2fc4fc75fa2d7eb5ba9147fa7430756654faa9,1.5e+23
68,0xb20411c403687d1036e05c8a7310a0f218429503,1.5e+23
69,0x9a1ed80ebc9936cee2d3db944ee6bd8d407e7f9f,1.5e+23
70,0xb8cda067fabedd1bb6c11c626862d7255a2414fe,1.5e+23
71,0xb9fa6e54025b4f0829d8e1b42e8b846914659632,1.5e+23
72,0x701c484bfb40ac628afa487b6082f084b14af0bd,1.5e+23
73,0xba18ded5e0d604a86428282964ae0bb249ceb9d0,1.5e+23
74,0xfe01a216234f79cfc3bea7513e457c6a9e50250d,1.5e+23
75,0x0c05ec4db907cfb91b2a1a29e7b86688b7568a6d,1.5e+23
76,0xc4cf565a5d25ee2803c9b8e91fc3d7c62e79fe69,1.5e+23
77,0xe04cf52e9fafa3d9bf14c407afff94165ef835f7,1.5e+23
78,0x77afe94859163abf0b90725d69e904ea91446c7b,1.5e+23
79,0x19d599012788b991ff542f31208bab21ea38403e,1.5e+23
80,0xca582d9655a50e6512045740deb0de3a7ee5281f,1.5e+23
81,0xd05e6bf1a00b5b4c9df909309f19e29af792422b,1.5e+23
82,0x0f00294c6e4c30d9ffc0557fec6c586e6f8c3935,1.5e+23
83,0xeb2b00042ce4522ce2d1aacee6f312d26c4eb9d6,1.5e+23
84,0x7ae92148e79d60a0749fd6de374c8e81dfddf792,1.5e+23
85,0x554f4476825293d4ad20e02b54aca13956acc40a,1.5e+23
86,0x9cf36e93a8e2b1eaaa779d9965f46c90b820048c,1.5e+23
87,0x4756eeebf378046f8dd3cb6fa908d93bfd45f139,1.5e+23
88,0x091933ee1088cdf5daace8baec0997a4e93f0dd6,1.5e+23
89,0xa0efb63be0db8fc11681a598bf351a42a6ff50e0,1.5e+23
90,0x8b83b9c4683aa4ec897c569010f09c6d04608163,1.5e+23
91,0x550cd530bc893fc6d2b4df6bea587f17142ab64e,1.5e+23
92,0x828103b231b39fffce028562412b3c04a4640e64,1.5e+23
93,0xe35b0ef92452c353dbb93775e0df97cedf873c72,1.5e+23
94,0x0518f5bb058f6215a0ff5f4df54dae832d734e04,1.5e+23
95,0x0e86733eab26cfcc04bb1752a62ec88e910b4cf5,1.5e+23
96,0x0ff64c53d295533a37f913bb78be9e2adc78f5fe,1.5e+23
97,0xb8b6fe7f357adeab950ac6c270ce340a46989ce1,1.5e+23
98,0xeddf8eb4984cc27407a568cae1c78a1ddb0c2c1b,1.5e+23
99,0x7145cfedcf479bede20c0a4ba1868c93507d5786,1.5e+23
